the agreement in question involves number in #nouns# and $reflexive pronouns$ and is syntactic rather than semantic in nature because grammatical number in english , like grammatical gender in languages such as french , is partly arbitrary .	1	conjunction	conjunction	1
the agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in english , like #grammatical gender# in $languages$ such as french , is partly arbitrary .	5	feature-of	feature-of	1
the agreement in question involves number in nouns and reflexive pronouns and is syntactic rather than semantic in nature because grammatical number in english , like grammatical gender in $languages$ such as #french# , is partly arbitrary .	3	hyponym-of	hyponym-of	1
in this paper , a novel #method# to learn the $intrinsic object structure$ for robust visual tracking is proposed .	0	used-for	used-for	1
in this paper , a novel method to learn the #intrinsic object structure# for $robust visual tracking$ is proposed .	0	used-for	used-for	1
the basic assumption is that the $parameterized object state$ lies on a #low dimensional manifold# and can be learned from training data .	5	feature-of	feature-of	1
based on this assumption , firstly we derived the #dimensionality reduction and density estimation algorithm# for $unsupervised learning of object intrinsic representation$ , the obtained non-rigid part of object state reduces even to 2 dimensions .	0	used-for	used-for	1
secondly the $dynamical model$ is derived and trained based on this #intrinsic representation# .	0	used-for	used-for	1
thirdly the learned #intrinsic object structure# is integrated into a $particle-filter style tracker$ .	4	part-of	part-of	1
we will show that this intrinsic object representation has some interesting properties and based on which the newly derived #dynamical model# makes $particle-filter style tracker$ more robust and reliable .	0	used-for	used-for	1
experiments show that the learned #tracker# performs much better than existing $trackers$ on the tracking of complex non-rigid motions such as fish twisting with self-occlusion and large inter-frame lip motion .	6	compare	compare	1
experiments show that the learned #tracker# performs much better than existing trackers on the $tracking of complex non-rigid motions$ such as fish twisting with self-occlusion and large inter-frame lip motion .	0	used-for	used-for	1
experiments show that the learned tracker performs much better than existing #trackers# on the $tracking of complex non-rigid motions$ such as fish twisting with self-occlusion and large inter-frame lip motion .	0	used-for	used-for	1
experiments show that the learned tracker performs much better than existing trackers on the tracking of $complex non-rigid motions$ such as #fish twisting# with self-occlusion and large inter-frame lip motion .	3	hyponym-of	hyponym-of	1
experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as $fish twisting$ with #self-occlusion# and large inter-frame lip motion .	5	feature-of	feature-of	1
experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as fish twisting with #self-occlusion# and large $inter-frame lip motion$ .	1	conjunction	conjunction	1
experiments show that the learned tracker performs much better than existing trackers on the tracking of complex non-rigid motions such as $fish twisting$ with self-occlusion and large #inter-frame lip motion# .	5	feature-of	feature-of	1
the proposed #method# also has the potential to solve other type of $tracking problems$ .	0	used-for	used-for	1
in this paper , we present a #digital signal processor -lrb- dsp -rrb- implementation# of $real-time statistical voice conversion -lrb- vc -rrb-$ for silent speech enhancement and electrolaryngeal speech enhancement .	0	used-for	used-for	1
in this paper , we present a digital signal processor -lrb- dsp -rrb- implementation of #real-time statistical voice conversion -lrb- vc -rrb-# for $silent speech enhancement$ and electrolaryngeal speech enhancement .	0	used-for	used-for	1
in this paper , we present a digital signal processor -lrb- dsp -rrb- implementation of #real-time statistical voice conversion -lrb- vc -rrb-# for silent speech enhancement and $electrolaryngeal speech enhancement$ .	0	used-for	used-for	1
in this paper , we present a digital signal processor -lrb- dsp -rrb- implementation of real-time statistical voice conversion -lrb- vc -rrb- for #silent speech enhancement# and $electrolaryngeal speech enhancement$ .	1	conjunction	conjunction	1
#electrolaryngeal speech# is one of the typical types of $alaryngeal speech$ produced by an alternative speaking method for laryngectomees .	3	hyponym-of	hyponym-of	1
electrolaryngeal speech is one of the typical types of $alaryngeal speech$ produced by an alternative #speaking method# for laryngectomees .	0	used-for	used-for	1
